P_NAME,P_HABITABLE,P_ESI,P_TYPE_COMP,P_TYPE_TEMP,P_DISTANCE_LY,P_MASS_EM,P_RADIUS,P_ORBIT_PERIOD_DAYS,P_TEMP_EQUIL_K,P_DISTANCE_STAR_AU,S_NAME,S_TYPE,S_MASS_SM,S_RADIUS,S_TEMPERATURE_K,S_LUMINOSITY
Kepler-1533 b,0,0.43869866,Neptunian,Hot,,,3.46389,308.5471,352.29803,0.97756956,Kepler-1533,F,1.31,1.51,6431,3.494271
Kepler-1534 b,0,0.26832153,Superterran,Hot,,,1.89449,5.7166887,905.13798,0.060397656,Kepler-1534,G,0.9,0.86,5442,0.58119209
Kepler-1535 b,0,0.43673847,Neptunian,Hot,,,2.54467,138.9442,381.01461,0.53853151,Kepler-1535,F,1.08,1.11,6021,1.4508052
Kepler-1536 b,0,0.40025806,Neptunian,Cold,,,3.1388,364.75803,169.46656,0.89111198,Kepler-1536,K,0.71,0.67,4434,0.15546084
Kepler-1537 b,0,0.29272133,Terran,Hot,,,1.17705,1.4444538,1286.7786,0.023306317,Kepler-1537,K,0.81,0.77,5079,0.35349473
Kepler-1538 b,0,0.51890558,Neptunian,Hot,,,2.82492,175.13882,331.9991,0.61855303,Kepler-1538,G,1.03,1.03,5837,1.1033718
Kepler-1539 b,0,0.61982202,Neptunian,Hot,,,2.70161,133.30367,293.99568,0.48176002,Kepler-1539,K,0.84,0.8,5176,0.41157188
Kepler-154 b,0,0.29425018,Superterran,Hot,,,2.26442,33.040532,563.63343,0.198,Kepler-154,G,,1,5690,0.93915594
Kepler-154 c,0,0.32213517,Neptunian,Hot,,,2.94823,62.303276,455.6255,0.303,Kepler-154,G,,1,5690,0.93915594
Kepler-1540 b,2,0.69689908,Superterran,Warm,799,6.76,2.48862,125.41312,249.62595,0.44342019,Kepler-1540,K,0.74,0.69,4540,0.18122172
Kepler-1541 b,0,0.30908558,Terran,Hot,,,1.15463,8.406912,755.45388,0.076930763,Kepler-1541,K,0.86,0.81,5282,0.45756445
Kepler-1542 b,0,0.29029978,Subterran,Hot,,,0.76228,3.9511688,1114.9032,0.047903718,Kepler-1542,G,0.94,0.99,5564,0.84160348
Kepler-1542 c,0,0.27966325,Subterran,Hot,,,0.65018,2.8922302,1237.0904,0.038908164,Kepler-1542,G,0.94,0.99,5564,0.84160348
Kepler-1542 d,0,0.29797973,Terran,Hot,,,0.87438,5.9927374,970.36984,0.063236672,Kepler-1542,G,0.94,0.99,5564,0.84160348
Kepler-1542 e,0,0.29184024,Subterran,Hot,,,0.76228,5.1011576,1023.8967,0.056797776,Kepler-1542,G,0.94,0.99,5564,0.84160348
Kepler-1543 b,0,0.22307587,Neptunian,Hot,,,2.71282,6.9671027,1316.1976,0.079655536,Kepler-1543,F,1.39,1.65,6561,4.5199818
Kepler-1544 b,2,0.79777954,Superterran,Warm,1092,3.82,1.78239,168.81117,248.20872,0.55710713,Kepler-1544,K,0.81,0.74,4886,0.27961852
Kepler-1545 b,0,0.65632324,Neptunian,Warm,,,2.70161,163.69235,275.8702,0.55244401,Kepler-1545,K,0.84,0.8,5201,0.41958121
Kepler-1546 b,0,0.23525549,Neptunian,Hot,,,3.12759,19.597497,639.22101,0.13981416,Kepler-1546,G,0.95,0.93,5623,0.77468809
Kepler-1547 b,0,0.2920574,Terran,Hot,,,0.8968,0.69297968,2307.0349,0.015912163,Kepler-1547,F,1.12,1.18,6078,1.7025326
Kepler-1548 b,0,0.48007521,Neptunian,Hot,,,2.64556,124.82868,354.92446,0.48707693,Kepler-1548,G,0.99,0.97,5706,0.89363297
Kepler-1549 b,0,0.68668611,Neptunian,Warm,,,2.56709,214.88655,262.23447,0.67268223,Kepler-1549,G,0.88,0.84,5324,0.50792479
Kepler-155 b,0,0.2791411,Superterran,Hot,,,2.08506,5.931194,661.15427,0.056,Kepler-155,M,,0.62,4508,0.14223539
Kepler-155 c,0,0.59975323,Superterran,Hot,,,2.242,52.661793,318.04542,0.242,Kepler-155,M,,0.62,4508,0.14223539
Kepler-1550 b,0,0.52697666,Neptunian,Hot,,,3.01549,225.58281,323.06541,0.74160875,Kepler-1550,G,1.07,1.11,5991,1.4221057
Kepler-1551 b,0,0.24359149,Neptunian,Hot,,,2.65677,24.49737,719.45493,0.17240803,Kepler-1551,F,1.14,1.22,6136,1.8903826
Kepler-1552 b,2,0.69885498,Superterran,Warm,2509,6.66,2.4662,184.77185,261.15489,0.60127494,Kepler-1552,K,0.85,0.78,5202,0.39917124
Kepler-1553 b,0,0.29827824,Terran,Hot,,,1.15463,4.2426188,951.80597,0.048574149,Kepler-1553,K,0.85,0.81,5288,0.45964704
Kepler-1554 b,0,0.65049234,Neptunian,Warm,,,2.90339,198.08877,265.29858,0.62734907,Kepler-1554,K,0.84,0.81,5297,0.46278426
