P_NAME,P_HABITABLE,P_ESI,P_TYPE_COMP,P_TYPE_TEMP,P_DISTANCE_LY,P_MASS_EM,P_RADIUS,P_ORBIT_PERIOD_DAYS,P_TEMP_EQUIL_K,P_DISTANCE_STAR_AU,S_NAME,S_TYPE,S_MASS_SM,S_RADIUS,S_TEMPERATURE_K,S_LUMINOSITY
Kepler-46 c,0,0.21457629,Jovian,Hot,,119.50333,,57.011,393.12991,0.27992983,Kepler-46,G,,0.79,5309,0.44421552
Kepler-46 d,0,0.28631659,Superterran,Hot,,,1.63666,6.766589,803.53711,0.067,Kepler-46,G,,0.79,5309,0.44421552
Kepler-460 c,0,0.34529376,Neptunian,Hot,,,5.51532,220.13034,364.31058,0.72961,KIC 5437945,F,1.07,1.24,6340,2.2258149
Kepler-461 b,0,0.2380684,Neptunian,Hot,,,2.5783,8.3137831,838.80805,0.079759797,Kepler-461,G,0.98,0.91,5634,0.74754751
Kepler-462 b,0,0.20723352,Neptunian,Hot,,,3.76656,84.687981,670.69232,0.44040929,Kepler-462,F,1.59,2.04,7070,9.315939
Kepler-463 b,0,0.21841508,Neptunian,Hot,,,3.04912,8.9810168,833.26215,0.080704853,Kepler-463,G,0.87,0.9,5661,0.74532602
Kepler-464 b,0,0.20095675,Neptunian,Hot,,,3.29574,7.2569652,1179.558,0.07815223,Kepler-464,G,1.21,1.59,5933,2.8065985
Kepler-465 b,0,0.2165093,Neptunian,Hot,,,2.94823,9.9406725,1014.683,0.096921868,Kepler-465,F,1.23,1.29,6310,2.3636627
Kepler-466 b,0,0.28813776,Neptunian,Hot,,,2.84734,51.079263,512.43419,0.27290852,Kepler-466,G,1.04,1.05,5927,1.2190091
Kepler-466 c,0,0.29096648,Terran,Hot,,,1.25552,3.7092138,1228.2658,0.047501637,Kepler-466,G,1.04,1.05,5927,1.2190091
Kepler-467 b,0,0.26182433,Superterran,Hot,,,2.25321,24.993242,726.86128,0.17000214,Kepler-467,G,1.05,1.37,5809,1.9148523
Kepler-468 b,0,0.14217826,Jovian,Hot,,,13.3399,38.478757,481.91942,0.21999561,Kepler-468,G,0.96,0.87,5498,0.61964949
Kepler-470 b,0,0.070225358,Jovian,Hot,,,14.43848,24.669196,871.984,0.18549074,Kepler-470,F,1.4,1.66,6613,4.7217057
Kepler-471 b,0,0.0613093,Jovian,Hot,,,14.96535,5.0142346,1556.1134,0.06546986,Kepler-471,F,1.49,1.8,6733,5.9657921
Kepler-472 b,0,0.20956443,Neptunian,Hot,,,3.21727,4.1762555,887.08762,0.048066286,Kepler-472,K,0.85,0.78,4996,0.33959991
Kepler-473 b,0,0.18226979,Neptunian,Hot,,,4.08044,14.557317,860.45401,0.11894123,Kepler-473,G,1.06,1.34,5816,1.8407543
Kepler-474 b,0,0.21118486,Neptunian,Hot,,,3.06033,5.6606729,1064.7533,0.061939353,Kepler-474,G,0.99,1.08,5785,1.1704412
Kepler-475 b,0,0.23697592,Superterran,Hot,,,2.48862,3.1055082,986.05144,0.039606289,Kepler-475,K,0.86,0.79,5009,0.35200348
Kepler-476 b,0,0.21946875,Neptunian,Hot,,,3.08275,14.006406,792.71448,0.11481707,Kepler-476,G,1.03,1.09,5837,1.2356641
Kepler-477 b,0,0.27779716,Superterran,Hot,,,2.07385,11.119907,672.95631,0.093057219,Kepler-477,K,0.87,0.79,5240,0.42156833
Kepler-478 b,0,0.25296733,Neptunian,Hot,,,2.71282,13.221758,638.0364,0.10363553,Kepler-478,K,0.85,0.8,5210,0.422493
Kepler-479 b,0,0.27802687,Superterran,Hot,,,2.11869,12.493413,657.61608,0.10018356,Kepler-479,K,0.86,0.81,5247,0.44555666
Kepler-48 b,0,0.26781999,Superterran,Hot,,3.9410672,1.88328,4.778,936.47621,0.053190557,Kepler-48,K,0.88,0.89,5194,0.51650727
Kepler-48 c,0,0.23899991,Neptunian,Hot,,14.610553,2.71282,9.67395,740.24847,0.085128113,Kepler-48,K,0.88,0.89,5194,0.51650727
Kepler-48 d,0,0.37528362,Superterran,Hot,,7.9457001,2.04022,42.8961,450.58098,0.22976419,Kepler-48,K,0.88,0.89,5194,0.51650727
Kepler-48 e,0,0.19826267,Jovian,Cold,,656.95048,,982,158.6871,1.8524428,Kepler-48,K,0.88,0.89,5194,0.51650727
Kepler-480 b,0,0.22026029,Neptunian,Hot,,,2.78008,4.9195838,1306.3957,0.060967511,Kepler-480,F,1.25,1.34,6322,2.5698999
Kepler-481 b,0,0.23964641,Superterran,Hot,,,2.49983,10.060826,882.71769,0.091489748,Kepler-481,G,1.01,1.09,5802,1.2062923
Kepler-482 b,0,0.49609656,Superterran,Hot,,,2.36531,56.354186,356.39182,0.26130484,Kepler-482,K,0.75,0.72,4871,0.26147258
Kepler-483 b,0,0.21821018,Neptunian,Hot,,,3.20606,30.229104,746.92604,0.2061562,Kepler-483,F,1.28,1.47,6346,3.1399562
Kepler-484 b,0,0.25617475,Superterran,Hot,,,2.27563,10.045569,777.3472,0.089863433,Kepler-484,G,0.96,0.87,5668,0.69991696
Kepler-485 b,0,0.064146347,Jovian,Hot,,,14.41606,3.2432598,1309.3372,0.043848893,Kepler-485,G,1.07,1.09,5958,1.3413547
Kepler-486 b,0,0.17782702,Jovian,Hot,,,10.99701,30.360447,448.1741,0.17603163,Kepler-486,K,0.79,0.75,4926,0.29674868
Kepler-487 b,0,0.10061864,Jovian,Hot,,,11.42299,15.358768,657.65185,0.11715503,Kepler-487,G,0.91,0.88,5444,0.60943369
Kepler-487 c,0,0.31352572,Neptunian,Hot,,,2.67919,38.651998,483.49374,0.2167561,Kepler-487,G,0.91,0.88,5444,0.60943369
Kepler-488 b,0,0.059089662,Jovian,Hot,,,15.79489,3.1208292,1328.911,0.042738323,Kepler-488,G,1.07,1.09,5970,1.3521939
Kepler-489 b,0,0.15544635,Jovian,Hot,,,7.72369,17.276296,550.72428,0.12239057,Kepler-489,K,0.82,0.76,5014,0.32707937
Kepler-49 d,0,0.28842569,Superterran,Hot,,,1.60303,2.576549,796.56917,0.031,Kepler-49,M,,0.56,4252,0.091841237
Kepler-49 e,0,0.45147047,Superterran,Hot,,,1.55819,18.596108,411.78957,0.116,Kepler-49,M,,0.56,4252,0.091841237
Kepler-490 b,0,0.077087562,Jovian,Hot,,,11.64719,3.2686952,1341.0311,0.044214741,Kepler-490,F,1.08,1.12,6045,1.5007554
Kepler-491 b,0,0.098347098,Jovian,Hot,,,8.92316,4.2253845,1097.0079,0.051812135,Kepler-491,G,1.04,1.03,5582,0.92283153
Kepler-492 b,0,0.10468494,Jovian,Hot,,,9.59576,11.720123,738.99317,0.098894836,Kepler-492,G,0.94,0.91,5527,0.69235573
Kepler-493 b,0,0.060523348,Jovian,Hot,,,15.1335,3.0038766,1662.5304,0.045131238,Kepler-493,F,1.36,1.54,6457,3.6936287
Kepler-494 b,0,0.11825556,Jovian,Hot,,,7.14077,8.0251182,1044.5341,0.080960791,Kepler-494,F,1.1,1.26,6007,1.8520822
Kepler-495 b,0,0.14931153,Neptunian,Hot,,,5.23507,3.4130362,1045.2823,0.042179649,Kepler-495,G,0.86,0.83,5346,0.50415102
Kepler-496 b,0,0.25499938,Superterran,Hot,,,2.32047,8.3086494,764.67676,0.076330129,Kepler-496,K,0.86,0.82,5293,0.47285058
Kepler-497 b,0,0.13231696,Jovian,Hot,,,6.04219,3.5732037,1248.8201,0.047064151,Kepler-497,G,1.09,1.11,5834,1.2787932
Kepler-498 b,0,0.21911966,Neptunian,Hot,,,3.0267,9.6137536,836.84238,0.087871271,Kepler-498,G,0.98,0.96,5744,0.89885334
Kepler-499 b,0,0.25539885,Superterran,Hot,,,2.17474,5.6325284,877.21302,0.05913141,Kepler-499,G,0.87,0.83,5312,0.49144746
Kepler-5 b,0,0.057713636,Jovian,Hot,,670.93491,15.98546,3.5484657,1600.9809,0.0538,Kepler-5,F,1.37,1.79,6297,4.5136666
Kepler-50 b,0,0.27118716,Superterran,Hot,,,1.71513,7.81254,1242.9098,0.077,Kepler-50,F,1.24,1.58,6225,3.3586152
Kepler-50 c,0,0.2490186,Superterran,Hot,,,2.17474,9.37647,1169.2984,0.087,Kepler-50,F,1.24,1.58,6225,3.3586152
Kepler-500 b,0,0.23514076,Neptunian,Hot,,,2.5783,8.5083244,907.61121,0.082086608,Kepler-500,G,1.02,1.03,5813,1.0853364
Kepler-501 b,0,0.17088517,Neptunian,Hot,,,4.30464,5.6406776,1060.5765,0.062614677,Kepler-501,G,1.03,1.04,5904,1.1774452
Kepler-502 b,0,0.15705407,Neptunian,Hot,,,4.77546,4.2868643,1282.0907,0.054096436,Kepler-502,F,1.15,1.22,6125,1.8768635
Kepler-504 b,0,0.5439731,Superterran,Hot,,,1.59182,9.5492754,361.18475,0.060859421,Kepler-504,M,0.33,0.33,3519,0.014962136
Kepler-505 b,0,0.53963925,Neptunian,Hot,,,2.60072,27.52198,329.97644,0.14613365,Kepler-505,K,0.55,0.53,3931,0.060096968
Kepler-506 b,0,0.2240657,Neptunian,Hot,,,2.73524,6.8834055,1094.6693,0.075028704,Kepler-506,F,1.19,1.19,6236,1.9186996
Kepler-507 b,0,0.28837186,Terran,Hot,,,1.30036,3.5680969,1412.912,0.048005019,Kepler-507,F,1.16,1.32,6113,2.1799879
Kepler-508 b,0,0.29556182,Superterran,Hot,,,1.63666,25.308897,705.29955,0.17721931,Kepler-508,F,1.16,1.25,6025,1.8447473
Kepler-509 b,0,0.27369552,Superterran,Hot,,,2.48862,41.746004,593.50145,0.243062,Kepler-509,F,1.1,1.2,6060,1.7399695
Kepler-51 b,0,0.17818013,Jovian,Hot,,2.224796,7.09593,45.154,512.86977,0.25160112,Kepler-51,F,1.04,0.94,6018,1.0383723
Kepler-51 c,0,0.22393934,Jovian,Hot,,4.131764,9.00163,85.312,415.01351,0.38403763,Kepler-51,F,1.04,0.94,6018,1.0383723
Kepler-51 d,0,0.28523395,Jovian,Hot,,7.6278721,9.69665,130.194,360.47283,0.50901629,Kepler-51,F,1.04,0.94,6018,1.0383723
Kepler-510 b,0,0.2447991,Superterran,Hot,,,2.4662,19.556594,810.64895,0.13763182,Kepler-510,G,0.91,1.41,5746,1.9417323
Kepler-511 b,0,0.44111009,Jovian,Hot,,,6.35607,296.63786,298.64358,0.87028329,Kepler-511,G,1,1.2,5770,1.4300604
Kepler-512 b,0,0.25263543,Neptunian,Hot,,,2.6904,34.43588,645.15882,0.21822892,Kepler-512,G,1.17,1.3,5997,1.9584458
Kepler-513 b,0,0.28232267,Superterran,Hot,,,2.19716,28.862356,616.57544,0.18532364,Kepler-513,G,1.02,1.06,5849,1.1782213
Kepler-514 b,0,0.27117912,Superterran,Hot,,,1.71513,5.651796,1243.9507,0.067406824,Kepler-514,F,1.28,1.44,6106,2.582503
Kepler-515 b,0,0.33401851,Terran,Hot,,,1.4573,19.963713,570.05361,0.13902235,Kepler-515,K,0.9,0.83,5293,0.48445384
Kepler-516 b,0,0.14029522,Neptunian,Hot,,,5.73952,24.854624,1005.2643,0.19571286,Kepler-516,F,1.62,2.02,7099,9.2849611
Kepler-517 b,0,0.33640735,Neptunian,Hot,,,2.66798,60.928323,454.94676,0.29782667,Kepler-517,G,0.95,0.98,5690,0.90196537
Kepler-518 b,0,0.25990738,Superterran,Hot,,,2.10748,8.5120359,851.5474,0.080467826,Kepler-518,G,0.96,0.88,5842,0.8081653
Kepler-519 b,0,0.32108555,Superterran,Hot,,,2.09627,24.307895,521.80981,0.15793236,Kepler-519,K,0.89,0.8,5260,0.43894651
Kepler-52 d,0,0.59481299,Superterran,Hot,,,1.95054,36.445171,329.60267,0.182,Kepler-52,M,,0.56,4263,0.092795311
Kepler-520 b,0,0.29121358,Superterran,Hot,,,1.65908,19.674161,733.09686,0.14719892,Kepler-520,F,1.1,1.09,6112,1.4855081
Kepler-520 c,0,0.29604188,Terran,Hot,,,1.06495,5.2110426,1141.5245,0.060709529,Kepler-520,F,1.1,1.09,6112,1.4855081
Kepler-521 b,0,0.21356926,Neptunian,Hot,,,3.18364,22.208132,826.42638,0.17043254,Kepler-521,F,1.34,1.46,6406,3.2161929
Kepler-522 b,0,0.13005045,Jovian,Hot,,,6.90536,38.584228,780.50362,0.25800197,Kepler-522,F,1.54,1.98,6392,5.8636237
Kepler-523 b,0,0.26489906,Superterran,Hot,,,1.96175,5.8359831,906.02157,0.061907969,Kepler-523,G,0.93,0.86,5515,0.61301008
Kepler-524 b,0,0.26545928,Superterran,Hot,,,1.9057,7.9741981,980.66792,0.080372918,Kepler-524,F,1.09,1.1,6014,1.4181681
Kepler-524 c,0,0.29371826,Terran,Hot,,,0.96406,1.8889791,1584.9246,0.030770636,Kepler-524,F,1.09,1.1,6014,1.4181681
Kepler-525 b,0,0.24500154,Neptunian,Hot,,,2.63435,18.684049,715.79608,0.13543516,Kepler-525,G,0.95,1.15,5573,1.1429849
Kepler-526 b,0,0.25871874,Superterran,Hot,,,1.99538,5.4584983,1100.3161,0.063551278,Kepler-526,G,1.15,1.14,5894,1.4052024
Kepler-527 b,0,0.22181266,Neptunian,Hot,,,2.83613,13.285356,982.16654,0.11916856,Kepler-527,F,1.28,1.45,6388,3.1367816
Kepler-528 b,0,0.27399071,Superterran,Hot,,,2.08506,19.782974,695.42392,0.14359668,Kepler-528,G,1.01,1.06,5807,1.1447422
Kepler-529 b,0,0.26241705,Superterran,Hot,,,1.86086,1.9803577,1612.524,0.031559726,Kepler-529,F,1.07,1.14,6087,1.598496
Kepler-529 c,0,0.26489485,Superterran,Hot,,,1.99538,12.834502,864.89034,0.10970426,Kepler-529,F,1.07,1.14,6087,1.598496
Kepler-53 b,0,0.24144842,Jovian,Hot,,5851.2135,2.89218,18.648953,658.89695,0.13667462,Kepler-53,G,0.98,0.89,5858,0.83573026
Kepler-53 c,0,0.27162798,Jovian,Hot,,5002.6128,3.17243,38.558304,517.20534,0.22181805,Kepler-53,G,0.98,0.89,5858,0.83573026
Kepler-53 d,0,0.26182372,Superterran,Hot,,,2.11869,9.751962,807.49668,0.091,Kepler-53,G,0.98,0.89,5858,0.83573026
Kepler-530 b,0,0.2871497,Neptunian,Hot,,,3.01549,39.309419,500.62132,0.22392259,Kepler-530,G,0.97,0.89,5697,0.74757288
Kepler-531 b,0,0.33665398,Neptunian,Hot,,,2.78008,29.884857,448.47197,0.17345037,Kepler-531,K,0.78,0.75,4893,0.28887638
Kepler-532 b,0,0.26039075,Neptunian,Hot,,,2.56709,12.924916,634.1832,0.10287294,Kepler-532,K,0.87,0.79,5192,0.4063325
Kepler-533 b,0,0.32306357,Neptunian,Hot,,,3.38542,28.511205,434.04226,0.16809372,Kepler-533,K,0.78,0.72,4758,0.23804079
Kepler-534 b,0,0.26278017,Superterran,Hot,,,2.242,15.959945,723.11268,0.12606473,Kepler-534,G,1.05,0.98,5884,1.0314103
Kepler-535 b,0,0.23920932,Superterran,Hot,,,2.36531,4.9033216,1245.0438,0.059675647,Kepler-535,F,1.18,1.27,6123,2.031202
Kepler-536 b,0,0.20687668,Neptunian,Hot,,,3.10517,1.8270823,1362.0518,0.028440958,Kepler-536,G,0.92,0.89,5524,0.66082024
Kepler-537 b,0,0.28539927,Terran,Hot,,,1.41246,3.2475552,1206.4584,0.043887601,Kepler-537,G,1.07,0.99,5763,0.96862018
Kepler-538 b,0,0.43629271,Superterran,Hot,,,2.26442,81.737807,391.84332,0.36353702,Kepler-538,G,0.96,0.9,5650,0.73954986
Kepler-539 b,0,0.29874192,Jovian,Hot,,308.29316,8.37387,125.63243,350.53462,0.53673374,Kepler-539,G,1.05,0.95,5820,0.92774323
Kepler-539 c,0,0.2202432,Jovian,Cold,,762.78721,,1000,158.05166,2.7225,Kepler-539,G,1.05,0.95,5820,0.92774323
Kepler-54 d,0,0.48635272,Superterran,Hot,,,1.52456,20.995694,391.56728,0.126,Kepler-54,M,,0.55,4252,0.088590479
Kepler-540 b,0,0.48931952,Neptunian,Hot,,,2.71282,172.70498,348.49569,0.61081948,Kepler-540,G,1.02,1.08,5946,1.3062785
Kepler-541 b,0,0.19679539,Neptunian,Hot,,,3.363,5.0800585,1531.9338,0.064837819,Kepler-541,F,1.41,2.06,6166,5.4958791
Kepler-542 b,0,0.29842789,Superterran,Hot,,,1.5694,13.144976,708.47958,0.10637602,Kepler-542,G,0.93,0.9,5526,0.67673274
Kepler-543 b,0,0.29520219,Superterran,Hot,,,2.49983,13.89962,531.77214,0.10043325,Kepler-543,K,0.7,0.67,4671,0.19145985
Kepler-544 b,0,0.26545689,Superterran,Hot,,,2.11869,21.416169,758.80534,0.15854654,Kepler-544,F,1.16,1.22,6206,1.9781326
Kepler-545 b,0,0.23499346,Neptunian,Hot,,,2.6904,13.249341,804.96233,0.11099843,Kepler-545,G,1.04,1.07,5882,1.227881
Kepler-546 b,0,0.11823698,Jovian,Hot,,,6.99504,4.1470203,1233.3927,0.05229273,Kepler-546,G,1.11,1.15,5967,1.5021333
Kepler-547 b,0,0.19160895,Neptunian,Hot,,,4.00197,6.0103843,745.1456,0.059540057,Kepler-547,K,0.78,0.73,4828,0.25941997
Kepler-548 b,0,0.077965724,Jovian,Hot,,,11.9947,4.4541943,1017.8825,0.051703107,Kepler-548,G,0.93,0.9,5535,0.6811522
Kepler-549 b,0,0.34471062,Neptunian,Hot,,,2.56709,42.949565,451.54394,0.22995506,Kepler-549,G,0.88,0.84,5360,0.52180277
Kepler-549 c,0,0.53248516,Neptunian,Hot,,,2.92581,117.0405,323.27656,0.44863647,Kepler-549,G,0.88,0.84,5360,0.52180277
Kepler-55 d,0,0.2828308,Superterran,Hot,,,1.59182,2.211099,917.73198,0.029,Kepler-55,K,,0.62,4503,0.1416054
Kepler-55 e,0,0.29889187,Superterran,Hot,,,1.54698,4.617534,713.33617,0.048,Kepler-55,K,,0.62,4503,0.1416054
Kepler-55 f,0,0.33559878,Superterran,Hot,,,1.59182,10.198545,549.12644,0.081,Kepler-55,K,,0.62,4503,0.1416054
Kepler-550 b,0,0.17859109,Neptunian,Hot,,,4.41674,8.6001041,763.22941,0.078406448,Kepler-550,G,0.87,0.83,5322,0.49515858
Kepler-551 b,0,0.30153241,Neptunian,Hot,,,2.73524,12.376466,497.92847,0.090687017,Kepler-551,K,0.65,0.63,4286,0.11999922
Kepler-552 b,0,0.18074416,Neptunian,Hot,,,3.94592,5.2634158,1077.7965,0.059790715,Kepler-552,G,1.03,1.04,5863,1.1450776
Kepler-553 b,0,0.16417655,Neptunian,Hot,,,4.62973,4.030468,974.77148,0.048195795,Kepler-553,K,0.92,0.85,5266,0.4977943
Kepler-553 c,0,0.38406453,Jovian,Warm,,,11.19879,328.23995,224.88344,0.90552371,Kepler-553,K,0.92,0.85,5266,0.4977943
Kepler-554 b,0,0.16874754,Neptunian,Hot,,,4.29343,1.9022086,1344.8702,0.029320809,Kepler-554,G,0.93,0.92,5447,0.66756537
Kepler-555 b,0,0.23374727,Neptunian,Hot,,,2.82492,16.217754,744.59363,0.12660449,Kepler-555,G,1.03,1.04,5894,1.1694882
Kepler-556 b,0,0.25701884,Superterran,Hot,,,2.242,11.722922,788.20999,0.10097181,Kepler-556,G,1,0.98,5740,0.93408924
Kepler-557 b,0,0.22506602,Neptunian,Hot,,,2.66798,3.7059895,1307.821,0.048516188,Kepler-557,F,1.11,1.16,6068,1.6345075
Kepler-558 b,0,0.3206158,Superterran,Hot,,,2.36531,29.007905,497.11844,0.17498203,Kepler-558,K,0.85,0.81,5242,0.44386076
Kepler-559 b,0,0.21259641,Neptunian,Hot,,,3.60962,17.587523,669.4514,0.13053784,Kepler-559,G,0.96,0.95,5630,0.81239911
Kepler-56 b,0,0.12431121,Jovian,Hot,,22.24796,6.51301,10.5016,1368.4725,0.1028,Kepler-56,K,1.32,4.23,4840,8.7973289
Kepler-56 c,0,0.091286013,Jovian,Hot,,181.16196,9.79754,21.40239,1079.5123,0.1652,Kepler-56,K,1.32,4.23,4840,8.7973289
Kepler-56 d,0,0.35565256,Jovian,Hot,,1783.0151,,1002,297.78872,2.2032,Kepler-56,K,1.32,4.23,4840,8.7973289
Kepler-560 b,0,0.73697034,Superterran,Hot,,,1.71513,18.477644,291.44213,0.095448023,Kepler-560,M,0.34,0.33,3556,0.015601399
Kepler-561 b,0,0.21989379,Jovian,Hot,,,6.96141,58.362049,447.72537,0.29041587,Kepler-561,G,0.96,0.94,5646,0.80446629
Kepler-561 c,0,0.2282754,Neptunian,Hot,,,2.67919,5.350162,992.96265,0.059044292,Kepler-561,G,0.96,0.94,5646,0.80446629
Kepler-562 b,0,0.17350255,Neptunian,Hot,,,5.21265,18.009314,643.54986,0.13122059,Kepler-562,G,0.93,0.9,5575,0.70105671
Kepler-563 b,0,0.27478381,Neptunian,Hot,,,3.09396,22.184327,517.41906,0.14340702,Kepler-563,K,0.8,0.77,5066,0.34988944
Kepler-564 b,0,0.16202447,Neptunian,Hot,,,4.62973,3.7508323,1103.8061,0.046433973,Kepler-564,G,0.95,0.92,5626,0.75973689
Kepler-565 b,0,0.1899791,Neptunian,Hot,,,3.64325,4.2437472,1091.6163,0.050943008,Kepler-565,G,0.98,0.95,5735,0.87472099
Kepler-566 b,0,0.30091645,Superterran,Hot,,,2.15232,18.427946,561.3372,0.12828825,Kepler-566,K,0.83,0.79,5132,0.38787288
Kepler-567 b,0,0.28858714,Superterran,Hot,,,2.25321,16.542974,582.54565,0.11986113,Kepler-567,K,0.84,0.79,5148,0.39273263
Kepler-568 b,0,0.38488306,Superterran,Hot,,,2.26442,11.023475,429.08616,0.079404076,Kepler-568,M,0.55,0.53,3768,0.050732231
Kepler-569 b,0,0.26593123,Neptunian,Hot,,,3.16122,34.188905,530.33285,0.20261623,Kepler-569,G,0.95,0.93,5616,0.77083769
Kepler-57 b,0,0.25906572,Jovian,Hot,,5994.2361,2.18595,5.7293196,798.53705,0.058875908,Kepler-57,K,0.83,0.73,5145,0.33456144
Kepler-57 c,0,0.31251068,Jovian,Hot,,2208.9046,1.54698,11.609257,631.04638,0.09427688,Kepler-57,K,0.83,0.73,5145,0.33456144
Kepler-570 b,0,0.2377498,Superterran,Hot,,,2.45499,4.301662,1022.5181,0.050515896,Kepler-570,G,0.93,0.9,5496,0.66215637
Kepler-571 b,0,0.22978446,Neptunian,Hot,,,2.64556,4.7985994,991.48852,0.054335066,Kepler-571,G,0.93,0.9,5527,0.67722273
Kepler-572 b,0,0.27232982,Neptunian,Hot,,,2.5783,17.205235,583.2844,0.12254888,Kepler-572,K,0.83,0.79,5212,0.41262967
Kepler-573 b,0,0.2469628,Neptunian,Hot,,,2.79129,22.183297,651.89868,0.1539591,Kepler-573,G,0.99,1.02,5746,1.0161352
Kepler-574 b,0,0.24571288,Superterran,Hot,,,2.38773,7.6588041,863.16349,0.07473512,Kepler-574,G,0.95,0.91,5612,0.73593944
Kepler-575 b,0,0.24705258,Superterran,Hot,,,2.38773,9.3789194,835.82235,0.086139433,Kepler-575,G,0.97,0.95,5710,0.8595681
Kepler-576 b,0,0.24717976,Neptunian,Hot,,,3.27332,29.911368,568.02365,0.18790809,Kepler-576,G,0.99,0.97,5672,0.87252324
Kepler-577 b,0,0.32716535,Neptunian,Hot,,,2.54467,25.695783,473.94946,0.15683717,Kepler-577,K,0.78,0.73,4984,0.29460933
Kepler-578 b,0,0.25664952,Superterran,Hot,,,1.99538,1.6168837,1335.2878,0.0257317,Kepler-578,G,0.87,0.83,5334,0.49963963
Kepler-579 b,0,0.26736205,Superterran,Hot,,,1.99538,9.6685772,818.1674,0.088504021,Kepler-579,G,0.99,0.96,5636,0.83313437
Kepler-58 d,0,0.25477051,Neptunian,Hot,,,2.93702,40.101371,588.24592,0.236,Kepler-58,F,,1.13,6099,1.5829969
Kepler-580 b,0,0.27577006,Neptunian,Hot,,,2.56709,8.2224197,573.86052,0.0697484,Kepler-580,K,0.67,0.64,4298,0.12523169
Kepler-581 b,0,0.28983771,Neptunian,Hot,,,2.63435,40.606982,529.16166,0.2311586,Kepler-581,G,1,1,5772,0.99447515
Kepler-582 b,0,0.21510749,Neptunian,Hot,,,3.67688,18.492357,640.1654,0.13355661,Kepler-582,G,0.93,0.91,5564,0.71108238
Kepler-583 b,0,0.24962903,Superterran,Hot,,,2.27563,6.5100253,898.34364,0.066825255,Kepler-583,G,0.94,0.91,5523,0.69035362
Kepler-584 b,0,0.19751697,Neptunian,Hot,,,4.21496,35.18103,646.26992,0.22136582,Kepler-584,F,1.17,1.24,6195,2.0290711
Kepler-585 b,0,0.21894778,Neptunian,Hot,,,2.82492,2.7523598,1221.0543,0.037908514,Kepler-585,G,0.96,0.93,5593,0.75828737
Kepler-586 b,0,0.21966781,Neptunian,Hot,,,2.79129,2.1047222,1328.4591,0.031478596,Kepler-586,G,0.94,0.92,5575,0.73256099
Kepler-587 b,0,0.26034374,Superterran,Hot,,,2.23079,10.940278,753.46761,0.093783064,Kepler-587,G,0.92,0.89,5549,0.67286441
Kepler-588 b,0,0.2279411,Neptunian,Hot,,,2.63435,4.2216254,1135.7682,0.051278637,Kepler-588,G,1.01,1,5835,1.038609
Kepler-589 b,0,0.2800553,Superterran,Hot,,,2.27563,16.549649,609.45167,0.12176701,Kepler-589,K,0.88,0.83,5296,0.48555311
Kepler-59 b,0,0.3059238,Jovian,Hot,,651.54741,1.09858,11.868171,808.22855,0.10314382,Kepler-59,F,1.04,0.94,6074,1.0775651
Kepler-59 c,0,0.27807449,Jovian,Hot,,435.42436,1.98417,17.980124,703.71675,0.1360554,Kepler-59,F,1.04,0.94,6074,1.0775651
Kepler-590 b,0,0.17805483,Neptunian,Hot,,,4.02439,5.8529626,1107.3165,0.065598053,Kepler-590,F,1.1,1.15,6000,1.5356397
Kepler-591 b,0,0.35987404,Neptunian,Hot,,,3.38542,81.16943,402.61101,0.36310187,Kepler-591,G,0.97,0.94,5677,0.82228038
Kepler-592 b,0,0.23759363,Superterran,Hot,,,2.38773,2.8201924,1336.1495,0.039570647,Kepler-592,G,1.04,1.04,5913,1.1846412
Kepler-593 b,0,0.23616919,Neptunian,Hot,,,2.86976,21.21709,703.25923,0.15385373,Kepler-593,G,1.08,1.1,5967,1.3743526
Kepler-594 b,0,0.27083682,Superterran,Hot,,,2.17474,13.646182,685.31136,0.10827565,Kepler-594,G,0.91,0.87,5485,0.6138096
Kepler-595 b,0,0.24419355,Neptunian,Hot,,,3.8114,25.302923,525.13257,0.16098909,Kepler-595,K,0.87,0.83,5247,0.4678311
Kepler-596 b,0,0.20535573,Neptunian,Hot,,,3.46389,21.300227,792.89676,0.16021168,Kepler-596,F,1.21,1.32,6267,2.4081043
Kepler-597 b,0,0.25450236,Superterran,Hot,,,2.36531,13.023659,745.6393,0.10721498,Kepler-597,G,0.97,0.95,5683,0.84342502
Kepler-598 b,0,0.28404428,Superterran,Hot,,,1.50214,3.7017543,1026.0571,0.044697959,Kepler-598,G,0.87,0.86,5307,0.52563212
Kepler-599 b,0,0.25806472,Neptunian,Hot,,,2.83613,15.655627,592.11035,0.11507542,Kepler-599,K,0.83,0.79,5127,0.38636351
Kepler-6 b,0,0.063264606,Jovian,Hot,,212.30911,14.61784,3.2346996,1332.2381,0.04852,Kepler-6,G,1.21,1.39,5647,1.760311
Kepler-60 b,0,0.27303058,Superterran,Hot,,4.1889731,1.71513,7.1334,1077.9445,0.073460135,Kepler-60,G,1.04,1.26,5905,1.7294553
Kepler-60 c,0,0.26498816,Superterran,Hot,,3.8488971,1.9057,8.9187,1000.6021,0.085255363,Kepler-60,G,1.04,1.26,5905,1.7294553
Kepler-60 d,0,0.26310107,Superterran,Hot,,4.1603686,1.99538,11.8981,908.94172,0.10331715,Kepler-60,G,1.04,1.26,5905,1.7294553
Kepler-600 b,0,0.27408577,Neptunian,Hot,,,2.90339,23.675176,536.75839,0.15221758,Kepler-600,K,0.84,0.81,5279,0.45652581
